FID,id,fromnode,tonode,leftpolygo,rightpolyg,shape_leng,shape_le_1,the_geom
hti_boundaries_sections_communales_adm3_cnigs_line.28,306,16,50,16,12,0.09800367,0.09800367,"MULTILINESTRING ((-71.85446669499993 18.127813338000067, -71.85443124499994 18.133491135000043, -71.85269766499994 18.136974459000044, -71.84645580799992 18.142803264000065, -71.84577608099994 18.143848284000057, -71.84506861999995 18.15064337800004, -71.84252101399994 18.153688901000066, -71.84276883899992 18.15566098800008, -71.84275076699993 18.158242530000052, -71.84328389399991 18.166403048000063, -71.84255490899994 18.16755562600008, -71.84202070899994 18.168377370000087, -71.84198894899993 18.171717005000062, -71.84142358899993 18.176365856000075, -71.83788917399994 18.177544337000086, -71.83333620499991 18.178642856000067, -71.83041780499991 18.179696058000047, -71.82767787099993 18.179759094000076, -71.82756920899993 18.181589815000052, -71.82635728399993 18.18592994100004, -71.82476174299995 18.18955060500008, -71.82391474699995 18.190944811000065, -71.82131031199992 18.192382190000046, -71.82012259699991 18.193815853000046, -71.81857312299991 18.197482327000046, -71.8190291169999 18.200459854000087, -71.82107357299992 18.20334630800005, -71.82262887399992 18.206125453000084))"
hti_boundaries_sections_communales_adm3_cnigs_line.29,307,50,32,51,12,0.0497954,0.0497954,"MULTILINESTRING ((-71.82262887399992 18.206125453000084, -71.82057247799992 18.20597402700008, -71.81731093099995 18.205089394000083, -71.81155672499995 18.20363971100005, -71.80790867499991 18.20013054900005, -71.80371902399992 18.192667569000037, -71.80060801399992 18.182523453000044, -71.78892660499992 18.177832840000065, -71.78752422999992 18.17706010900008))"
hti_boundaries_sections_communales_adm3_cnigs_line.30,308,51,52,33,13,0.00742315,0.00742315,"MULTILINESTRING ((-72.82651719099994 18.206650945000092, -72.82460128799994 18.20566269200009, -72.8226564819999 18.205478060000075, -72.82099256099991 18.20627216200006, -72.81997740599991 18.20733553100007))"
hti_boundaries_sections_communales_adm3_cnigs_line.50,328,97,98,35,19,0.00103859,0.00103859,"MULTILINESTRING ((-72.68343898199993 18.24897959100008, -72.6825438859999 18.24904211900008, -72.68240274399994 18.249035263000053))"
hti_boundaries_sections_communales_adm3_cnigs_line.760,1038,640,639,286,235,0.00075192,0.00075192,"MULTILINESTRING ((-72.19801777499993 18.499198799000055, -72.19757264999993 18.49898610300005, -72.19733807799992 18.49909493100006))"
hti_boundaries_sections_communales_adm3_cnigs_line.31,309,52,33,27,13,0.09241031,0.09241031,"MULTILINESTRING ((-72.81997740599991 18.20733553100007, -72.81916210599991 18.206775262000065, -72.8182296359999 18.20651169100006, -72.81724073799995 18.206229500000063, -72.8160662809999 18.20566504100009, -72.81475477499993 18.204728732000092, -72.81430032299994 18.204028056000084, -72.81342633799994 18.202870853000036, -72.81289841299991 18.202006684000082, -72.81188300299993 18.200061962000063, -72.81309614199995 18.19827821000007, -72.8139806829999 18.196319111000037, -72.81440770099994 18.194661859000064, -72.81403493699992 18.192724467000062, -72.81276977399995 18.191860932000054, -72.81142224199994 18.19154744800005, -72.80972500099995 18.191230055000062, -72.8082216279999 18.192043949000038, -72.80729864299991 18.193298051000056, -72.8059043799999 18.192938839000078, -72.80448900599993 18.19275999900009, -72.80293634199995 18.19221832900007, -72.8023875259999 18.191516550000074, -72.80058666799994 18.191179739000063, -72.79837696499993 18.19103699900006, -72.79594702399993 18.190367714000047, -72.7939136949999 18.18898037400004, -72.79245511499994 18.186226525000052, -72.79178917799993 18.184321958000055, -72.7914345179999 18.181716357000084, -72.78938504899992 18.18162052400004, -72.78667702299992 18.183531387000073, -72.78325454499992 18.18439519700007, -72.78173239499995 18.182950427000037, -72.77842187899995 18.17945251100008, -72.7774620269999 18.17838458300008, -72.77470318799993 18.17759384200008, -72.77279564499992 18.17674068900004, -72.76992370999994 18.175189781000086, -72.76592138899991 18.175585882000064, -72.76562218899994 18.176819926000064, -72.76446985299992 18.179742240000053, -72.76263209699994 18.180831925000064, -72.76018429299995 18.18084854300008, -72.75722084199992 18.180542932000037, -72.75587923099994 18.18000813200007, -72.75586692299993 18.180003226000053))"
hti_boundaries_sections_communales_adm3_cnigs_line.32,310,20,49,17,13,0.05218831,0.05218831,"MULTILINESTRING ((-72.90253138199995 18.157550511000068, -72.90176222499991 18.159448172000054, -72.9001007679999 18.163260291000086, -72.89998238999993 18.166050339000037, -72.9001513039999 18.169304324000052, -72.8978391409999 18.17220594400004, -72.89760940199994 18.174028194000073, -72.89757445499993 18.17536477300007, -72.8964985149999 18.17761145700007, -72.89522989999995 18.179377161000048, -72.8937247049999 18.181158322000044, -72.89237289599993 18.182760520000045, -72.89156756199992 18.18371824600007, -72.89133772999992 18.185540479000053, -72.89093810899993 18.18733374900006, -72.89082327299991 18.18902176800009, -72.8901467689999 18.190260971000043, -72.88878128899995 18.192206275000046, -72.88745110799994 18.193573749000052, -72.88668891899994 18.194857151000065, -72.8864440719999 18.196354066000083, -72.8865185599999 18.19801706600009, -72.88646086299991 18.19966045700005, -72.88577550499991 18.200845351000055, -72.8846378099999 18.201916874000062, -72.88403620299994 18.20242513100004, -72.88390171299994 18.203390210000066, -72.88419743199995 18.203944581000087))"
hti_boundaries_sections_communales_adm3_cnigs_line.33,311,49,51,33,13,0.06804211,0.06804211,"MULTILINESTRING ((-72.88419743199995 18.203944581000087, -72.88277490399992 18.203558500000042, -72.88149977899991 18.20348111000004, -72.88020699799995 18.20330425900005, -72.87907349299991 18.20324657200007, -72.87763084499994 18.202959578000048, -72.87652738399993 18.202757704000078, -72.87433850299993 18.20243532900008, -72.8733575089999 18.202270919000057, -72.8721070439999 18.20172410200007, -72.87146969999992 18.20128342600009, -72.87026559599991 18.200809363000076, -72.86855647499993 18.20067288300004, -72.86675796599991 18.20011994200007, -72.86573379299995 18.19884386700005, -72.86420857399992 18.197580275000064, -72.86293303999992 18.19754800900006, -72.86128831199994 18.19833366800009, -72.86011893599994 18.198121937000053, -72.8586319449999 18.197599403000083, -72.8566884359999 18.196538901000054, -72.8548202099999 18.196283116000075, -72.85291245199994 18.19693932000007, -72.84993763599994 18.19828809200004, -72.84781564299993 18.199447691000046, -72.84658074999993 18.200725600000055, -72.84509894199994 18.202091040000084, -72.8447519149999 18.203406001000076, -72.84433524099995 18.20500927200004, -72.84368669799994 18.207016439000085, -72.84224964399993 18.207045434000065, -72.84095003699991 18.206660430000056, -72.83963180099994 18.206257145000052, -72.83857327399994 18.206245220000085, -72.83795648499995 18.20797265500005, -72.83688960899991 18.20940600600005, -72.8361684919999 18.209632687000067, -72.83529956799993 18.209577723000052, -72.83376166599993 18.20935254500006, -72.8327065549999 18.209069682000063, -72.83189153699993 18.20848228200009, -72.83076199499993 18.20809922400008, -72.82985897999993 18.20774572600004, -72.8280307409999 18.20730949700004, -72.82651719099994 18.206650945000092))"
hti_boundaries_sections_communales_adm3_cnigs_line.34,312,19,54,22,14,0.08702695,0.08702695,"MULTILINESTRING ((-73.87796293199995 18.157539865000047, -73.87689819699995 18.158464550000076, -73.87532033699995 18.159819919000086, -73.87319395299994 18.16119013000008, -73.86805394899994 18.165190455000072, -73.86559305299994 18.167109933000063, -73.86446518899993 18.167555124000046, -73.8514666669999 18.177617508000083, -73.84202171099992 18.184808519000057, -73.8333265039999 18.191470327000047, -73.83200001799992 18.191887001000055, -73.8309160309999 18.192802164000057, -73.83009339299991 18.19281531300004, -73.82960835299991 18.193237096000075, -73.82916345599995 18.194734477000054, -73.8222430379999 18.20024987900007, -73.81525625499995 18.205737491000036, -73.80946725599995 18.210229195000068))"
hti_boundaries_sections_communales_adm3_cnigs_line.35,313,54,26,30,14,0.05061346,0.05061346,"MULTILINESTRING ((-73.80946725599995 18.210229195000068, -73.80623318799991 18.206088228000056, -73.8094534089999 18.203912277000086, -73.80332016999995 18.19649098800005, -73.80318717299991 18.195197790000066, -73.80071875999994 18.192525552000063, -73.79937849899994 18.190809198000068, -73.7973198219999 18.18907026700009, -73.79624113299991 18.18781640700007, -73.7949689859999 18.185820367000076, -73.79394788699994 18.183066686000075, -73.79356494799993 18.181012885000086, -73.79217809999994 18.17784128900007, -73.79147574699994 18.176869947000057, -73.7897727859999 18.175675372000057, -73.78943735799993 18.17495931500008, -73.78975618299995 18.173967292000043, -73.78891630299995 18.16963333600006))"
hti_boundaries_sections_communales_adm3_cnigs_line.39,317,64,58,47,16,0.04955619,0.04955619,"MULTILINESTRING ((-71.8700898219999 18.22692945500006, -71.86755319299994 18.226147697000044, -71.86229285599995 18.22552898500004, -71.8607401509999 18.22414040400008, -71.85750056899991 18.224105329000054, -71.8567035179999 18.221672855000065, -71.85277928199991 18.22188830200008, -71.8500681239999 18.22188886500004, -71.84906331499991 18.221556356000065, -71.84844450499992 18.21972266100005, -71.8467548669999 18.218602500000088, -71.8430533049999 18.21799991900008, -71.8418116929999 18.217708601000083, -71.84072165099991 18.21582199800008, -71.8383481109999 18.215439789000072, -71.83359768899993 18.216950179000037, -71.83080942599992 18.217563021000046, -71.8303842549999 18.21600335000005, -71.82885971199994 18.215165659000036, -71.8276035849999 18.215153891000057))"
